Plot,year,date,severity,new,blue,green,red,redge,nir,ndvi,ndre,cire,sipi,mndvi
3,2021,D5,65.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2021,D0,0,2021-07-07,0.02211413375895872,0.06289556360788091,0.04265935745590247,0.14935794380194858,0.31750875595711164,0.7124581893056434,0.3477512342917868,-0.386596256054533,3.431202844552356,0.3637140070775556
4,2021,D1,0.75,2021-07-15,0.02000617021608024,0.05614472348447336,0.03134367934220999,0.14027445336360944,0.3260599527613008,0.7887920983830006,0.3904000319306242,-0.3893296794374437,3.150625201972528,-0.06867047558245173
4,2021,D2,5.45,2021-07-20,0.020479918183424105,0.06098736079115578,0.03665144094072729,0.16917269145748545,0.41589302532266814,0.8096072334652066,0.41358059319924567,-0.5115462271358278,3.2726187394893054,-0.15083105097794416
4,2021,D3,17.45,2021-08-02,0.024315068705130543,0.06981933317801295,0.03149349050157271,0.2080659680930836,0.44001681390843167,0.8538961758995153,0.36086090866265286,-0.5770462460179145,2.4966730548010485,-0.9219435727439385
4,2021,D4,42.6,2021-08-25,0.031672026293210455,0.06808206437681152,0.06547172150793368,0.17511766037306475,0.3086364858836498,0.6280323486770515,0.2732816561717209,-0.3892729170699304,3.0582468257638973,0.008994668948148835
4,2021,D5,75.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2021,D0,0,2021-07-07,0.023114898376451427,0.05985613940561285,0.046189467898410594,0.1392655068533049,0.2849417228789928,0.676337862295246,0.33149236058823833,-0.34082825070565365,3.558089238032073,0.4442368504298097
5,2021,D1,3.375,2021-07-15,0.02095564383336017,0.05658478660581918,0.03321927592720423,0.1439912812700113,0.3291101776386155,0.7828250390262462,0.38357184154735696,-0.3944119193899481,3.104735395985237,-0.04508038765715764
5,2021,D2,3.45,2021-07-20,0.021297172686368816,0.05862934879067451,0.037365445967755095,0.16078253314487695,0.3928958491642888,0.7985510358120768,0.41272677746613234,-0.478606377601085,3.387581646498376,-0.10124776498217072
5,2021,D3,15.45,2021-08-02,0.027216983141691804,0.06959043221094124,0.040737383995505576,0.2240817109266778,0.4563009479846147,0.8229697460752582,0.34632801951259845,-0.6192122694522488,2.5574666473180487,-0.873486558196919
5,2021,D4,17.25,2021-08-25,0.033201069924460064,0.06398255082169675,0.07626774085566503,0.12721212211311747,0.19495133274392965,0.4500080438171624,0.2154965045767464,-0.22628982035669573,6.154773244205269,-0.2514779990143995
5,2021,D5,55.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2021,D0,0,2021-07-07,0.022375835231898577,0.0611799203479312,0.041500244233228845,0.14629043572197958,0.31178259024346,0.7198423733609683,0.35042468034114904,-0.37684599288070697,3.376905239963549,0.2486349702928526
6,2021,D1,0.8,2021-07-15,0.022372605020327608,0.05968789572593058,0.033533452133571826,0.1488490543343551,0.34708701681443643,0.7903655520935832,0.3917954999843402,-0.4183129781440607,3.129151829454317,-0.13984438347347486
6,2021,D2,1.375,2021-07-20,0.02194515329609887,0.061279316591505935,0.03643290908078198,0.16344086910330757,0.4002293098269731,0.8077605952493834,0.414673884972085,-0.4887544357762808,3.360452182065416,-0.24951941233620545
6,2021,D3,8.8,2021-08-02,0.02798404756064866,0.07293050813461209,0.04063068605605504,0.2243523585293668,0.4512954712789296,0.8183377655617647,0.3413659361407415,-0.6129088377581634,2.491179147027802,-0.4580022807514797
6,2021,D4,12.25,2021-08-25,0.031557785549496564,0.06765107094534219,0.06388104785806546,0.16403560289166622,0.2689752512504198,0.601846568212375,0.2430514635309755,-0.33358893196147205,2.761766397500252,-0.02695606589431654
6,2021,D5,15.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2021,D0,0,2021-07-07,0.020861325829098543,0.058709568516481854,0.03996187177342611,0.14128532011104702,0.3017970074940487,0.7235433325638898,0.3521370046483111,-0.36185395601132647,3.4070518224766726,0.301009615366666
7,2021,D1,0.375,2021-07-15,0.021009176262281447,0.05998821938861354,0.03180204366095271,0.15602998873964022,0.36433334229322,0.8096700276919122,0.3941080392409186,-0.4437158418425494,3.035818626885528,-0.3200177751092811
7,2021,D2,3.05,2021-07-20,0.02097621589556489,0.06260347538764137,0.03316698187545086,0.1759698932660897,0.4279086226960494,0.8375735169525571,0.4146202786373441,-0.5301998978523753,3.0603598947803814,-0.537894215083963
7,2021,D3,9.1,2021-08-02,0.023623521010808494,0.06819463323322883,0.033884987577272395,0.22254831494941543,0.45849495451459976,0.8516508686077952,0.35366123540465755,-0.6176536981547427,2.46046900437455,-0.8471248175575983
7,2021,D4,13,2021-08-25,0.03049305819417105,0.06404962695503728,0.0658574253347727,0.14909127859292215,0.24486509006696464,0.5740527471963573,0.2454515166333581,-0.2956375268182089,3.022474616466964,0.028018217218541613
7,2021,D5,30.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
